id_ventas,fecha,id_cliente,id_retailer,id_region,id_estado,id_ciudad,id_metodo,id_producto,precio por unidad,unidades vendidas,ventas totales,ganancia,margen operativo
FC-000000027,2020-02-08,127,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,50.0,900,45000.0,15749.999999999998,0.35
FC-000000028,2020-02-09,128,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,50.0,850,42500.0,14874.999999999998,0.35
FC-000000029,2020-02-10,129,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,60.0,875,52500.0,15750.0,0.3
FC-000000030,2020-03-03,130,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,65.0,1000,65000.0,16250.0,0.25
FC-000000031,2020-03-04,131,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,60.0,1250,75000.0,37500.0,0.5
FC-000000032,2020-03-05,132,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,55.00000000000001,1000,55000.00000000001,16500.0,0.3
FC-000000033,2020-03-06,133,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,50.0,925,46250.0,16187.499999999998,0.35
FC-000000034,2020-03-07,134,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,50.0,900,45000.0,15749.999999999998,0.35
FC-000000035,2020-03-08,135,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,60.0,900,54000.0,16200.0,0.3
FC-000000036,2020-03-09,136,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,65.0,1050,68250.0,17062.5,0.25
FC-000000037,2020-03-10,137,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,60.0,1275,76500.0,38250.0,0.5
FC-000000038,2020-03-11,138,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,55.00000000000001,1025,56375.00000000001,16912.5,0.3
FC-000000039,2020-03-12,139,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,50.0,950,47500.0,16625.0,0.35
FC-000000040,2020-03-13,140,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,50.0,900,45000.0,15749.999999999998,0.35
FC-000000041,2020-03-14,141,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,60.0,925,55500.0,16650.0,0.3
FC-000000042,2020-03-15,142,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,65.0,1100,71500.0,17875.0,0.25
FC-000000043,2020-03-16,143,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,60.0,1250,75000.0,37500.0,0.5
FC-000000044,2020-03-17,144,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,55.00000000000001,1025,56375.00000000001,16912.5,0.3
FC-000000045,2020-03-18,145,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,50.0,950,47500.0,16625.0,0.35
FC-000000046,2020-03-31,146,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,50.0,925,46250.0,16187.499999999998,0.35
FC-000000047,2020-04-17,147,Walmart,Northeast,New York,New York,Outlet,Indumentaria,60.0,900,54000.0,16200.0,0.3
FC-000000048,2020-04-18,148,Walmart,Northeast,New York,New York,Outlet,Indumentaria,65.0,1075,69875.0,17468.75,0.25
FC-000000049,2020-04-19,149,Walmart,Northeast,New York,New York,Outlet,Calzado Urbano,60.0,1200,72000.0,36000.0,0.5
FC-000000050,2020-04-20,150,Walmart,Northeast,New York,New York,Outlet,Calzado Deportivo,55.00000000000001,1000,55000.00000000001,16500.0,0.3
FC-000000051,2020-04-21,151,Walmart,Northeast,New York,New York,Outlet,Calzado Urbano,50.0,925,46250.0,16187.499999999998,0.35
FC-000000052,2020-04-22,152,Walmart,Northeast,New York,New York,Outlet,Calzado Deportivo,50.0,900,45000.0,15749.999999999998,0.35
FC-000000053,2020-04-23,153,Walmart,Northeast,New York,New York,Outlet,Indumentaria,60.0,900,54000.0,16200.0,0.3
FC-000000054,2020-04-24,154,Walmart,Northeast,New York,New York,Outlet,Indumentaria,65.0,1000,65000.0,16250.0,0.25
FC-000000055,2020-04-25,155,Walmart,Northeast,New York,New York,Outlet,Indumentaria,65.0,875,56875.0,17062.5,0.3
FC-000000056,2020-04-26,156,Walmart,Northeast,New York,New York,Outlet,Indumentaria,70.0,1000,70000.0,17500.0,0.25
FC-000000057,2020-04-27,157,Walmart,Northeast,New York,New York,Outlet,Calzado Urbano,65.0,1150,74750.0,37375.0,0.5
FC-000000058,2020-04-28,158,Walmart,Northeast,New York,New York,Outlet,Calzado Deportivo,55.00000000000001,975,53625.00000000001,16087.500000000002,0.3
FC-000000059,2020-04-29,159,Walmart,Northeast,New York,New York,Outlet,Calzado Urbano,55.00000000000001,920,50600.00000000001,17710.0,0.35
FC-000000060,2020-04-30,160,Walmart,Northeast,New York,New York,Outlet,Calzado Deportivo,55.00000000000001,900,49500.00000000001,17325.0,0.35
FC-000000061,2020-05-01,161,Walmart,Northeast,New York,New York,Outlet,Indumentaria,65.0,875,56875.0,17062.5,0.3
FC-000000062,2020-05-02,162,Walmart,Northeast,New York,New York,Outlet,Indumentaria,70.0,975,68250.0,17062.5,0.25
FC-000000063,2020-05-03,163,Walmart,Northeast,New York,New York,Outlet,Calzado Urbano,65.0,1200,78000.0,39000.0,0.5
FC-000000064,2020-05-04,164,Walmart,Northeast,New York,New York,Outlet,Calzado Deportivo,55.00000000000001,1000,55000.00000000001,16500.0,0.3
FC-000000065,2020-05-05,165,Walmart,Northeast,New York,New York,Outlet,Calzado Urbano,55.00000000000001,950,52250.00000000001,18287.5,0.35
FC-000000066,2020-05-06,166,Walmart,Northeast,New York,New York,Outlet,Calzado Deportivo,55.00000000000001,900,49500.00000000001,17325.0,0.35
FC-000000067,2020-05-07,167,Walmart,Northeast,New York,New York,Outlet,Indumentaria,65.0,900,58500.0,17550.0,0.3
FC-000000068,2020-07-18,168,Walmart,Northeast,New York,New York,Outlet,Indumentaria,70.0,1000,70000.0,17500.0,0.25
FC-000000069,2020-07-19,169,Sports Direct,Northeast,New York,New York,Outlet,Calzado Urbano,25.0,900,22500.0,7874.999999999999,0.35
FC-000000070,2020-07-20,170,Sports Direct,Northeast,New York,New York,Outlet,Calzado Deportivo,35.0,900,31500.0,11025.0,0.35
FC-000000071,2020-07-21,171,Sports Direct,Northeast,New York,New York,Outlet,Calzado Urbano,35.0,700,24500.0,8575.0,0.35
FC-000000072,2020-07-22,172,Sports Direct,Northeast,New York,New York,Outlet,Calzado Deportivo,35.0,700,24500.0,11025.0,0.45
FC-000000073,2020-07-23,173,Sports Direct,Southwest,Texas,Houston,Outlet,Indumentaria,40.0,550,22000.0,6600.0,0.3
FC-000000074,2020-07-24,174,Sports Direct,Southwest,Texas,Houston,Outlet,Indumentaria,35.0,700,24500.0,12250.0,0.5
FC-000000075,2020-07-25,175,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Urbano,25.0,850,21250.0,7437.499999999999,0.35
FC-000000076,2020-07-26,176,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Deportivo,35.0,850,29750.0,10412.5,0.35
FC-000000077,2020-07-27,177,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Urbano,35.0,675,23625.0,8268.75,0.35
FC-000000078,2020-07-28,178,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Deportivo,35.0,625,21875.0,9843.75,0.45
FC-000000079,2020-07-29,179,Sports Direct,Southwest,Texas,Houston,Outlet,Indumentaria,40.0,500,20000.0,6000.0,0.3
FC-000000080,2020-07-30,180,Sports Direct,Southwest,Texas,Houston,Outlet,Indumentaria,35.0,700,24500.0,12250.0,0.5
FC-000000081,2020-07-31,181,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Urbano,30.0,875,26250.0,9187.5,0.35
FC-000000082,2020-08-01,182,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Deportivo,40.0,875,35000.0,12250.0,0.35
FC-000000083,2020-08-02,183,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Urbano,35.0,700,24500.0,8575.0,0.35
FC-000000084,2020-08-03,184,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Deportivo,40.0,600,24000.0,10800.0,0.45
FC-000000085,2020-08-04,185,Sports Direct,Southwest,Texas,Houston,Outlet,Indumentaria,45.0,500,22500.0,6750.0,0.3
FC-000000086,2020-08-05,186,Sports Direct,Southwest,Texas,Houston,Outlet,Indumentaria,40.0,650,26000.0,13000.0,0.5
FC-000000087,2020-08-06,187,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Urbano,30.0,900,27000.0,9450.0,0.35
FC-000000088,2020-08-07,188,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Deportivo,40.0,900,36000.0,12600.0,0.35
FC-000000089,2020-08-08,189,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Urbano,35.0,725,25375.0,8881.25,0.35
FC-000000090,2020-08-09,190,Sports Direct,Southwest,Texas,Houston,Outlet,Calzado Deportivo,40.0,625,25000.0,11250.0,0.45
FC-000000091,2020-08-10,191,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,45.0,525,23625.0,7087.5,0.3
FC-000000092,2020-08-11,192,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,40.0,800,32000.0,16000.0,0.5
FC-000000093,2020-08-12,193,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,30.0,925,27750.0,9712.5,0.35
FC-000000094,2020-08-13,194,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,40.0,925,37000.0,12950.0,0.35
FC-000000095,2020-08-14,195,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,35.0,775,27125.0,9493.75,0.35
FC-000000096,2020-08-15,196,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,40.0,700,28000.0,12600.0,0.45
FC-000000097,2020-08-16,197,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,45.0,600,27000.0,8100.0,0.3
FC-000000098,2020-08-17,198,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,40.0,950,38000.0,19000.0,0.5
FC-000000099,2020-08-18,199,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,40.0,950,38000.0,13300.0,0.35
FC-000000100,2020-08-19,200,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,45.0,950,42750.0,14962.499999999998,0.35
FC-000000101,2020-08-20,201,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,40.0,800,32000.0,11200.0,0.35
FC-000000102,2020-08-21,202,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,40.0,750,30000.0,13500.0,0.45
FC-000000103,2020-08-22,203,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,45.0,650,29250.0,8775.0,0.3
FC-000000104,2020-08-23,204,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,50.0,1000,50000.0,25000.0,0.5
FC-000000105,2020-08-24,205,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,40.0,950,38000.0,13300.0,0.35
FC-000000106,2020-08-25,206,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,45.0,950,42750.0,14962.499999999998,0.35
FC-000000107,2020-08-26,207,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,40.0,1100,44000.0,15399.999999999998,0.35
FC-000000108,2020-08-27,208,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,40.0,700,28000.0,12600.0,0.45
FC-000000109,2020-08-28,209,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,45.0,700,31500.0,9450.0,0.3
FC-000000110,2020-08-29,210,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,50.0,975,48750.0,24375.0,0.5
FC-000000111,2020-08-30,211,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,40.0,925,37000.0,12950.0,0.35
FC-000000112,2020-08-31,212,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,45.0,925,41625.0,14568.749999999998,0.35
FC-000000113,2020-09-01,213,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,40.0,1100,44000.0,15399.999999999998,0.35
FC-000000114,2020-09-02,214,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,40.0,650,26000.0,11700.0,0.45
FC-000000115,2020-09-03,215,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,45.0,650,29250.0,8775.0,0.3
FC-000000116,2020-09-04,216,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,50.0,900,45000.0,22500.0,0.5
FC-000000117,2020-09-05,217,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,45.0,850,38250.0,13387.5,0.35
FC-000000118,2020-09-06,218,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,45.0,850,38250.0,13387.5,0.35
FC-000000119,2020-09-07,219,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,50.0,900,45000.0,15749.999999999998,0.35
FC-000000120,2020-09-08,220,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,50.0,625,31250.0,14062.5,0.45
FC-000000121,2020-09-09,221,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,45.0,625,28125.0,8437.5,0.3
FC-000000122,2020-09-10,222,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,55.00000000000001,850,46750.00000000001,23375.000000000004,0.5
FC-000000123,2020-09-11,223,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,45.0,800,36000.0,12600.0,0.35
FC-000000124,2020-09-12,224,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,45.0,800,36000.0,12600.0,0.35
FC-000000125,2020-09-13,225,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,50.0,750,37500.0,13125.0,0.35
FC-000000126,2020-09-14,226,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,50.0,600,30000.0,13500.0,0.45
FC-000000127,2020-09-15,227,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,45.0,575,25875.0,7762.5,0.3
FC-000000128,2020-09-16,228,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,55.00000000000001,750,41250.00000000001,20625.000000000004,0.5
FC-000000129,2020-10-20,229,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,45.0,900,40500.0,14175.0,0.35
FC-000000130,2020-10-21,230,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,45.0,900,40500.0,14175.0,0.35
FC-000000131,2020-10-22,231,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,50.0,825,41250.0,14437.499999999998,0.35
FC-000000132,2020-10-23,232,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,50.0,675,33750.0,15187.5,0.45
FC-000000133,2020-10-24,233,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,45.0,650,29250.0,8775.0,0.3
FC-000000134,2020-10-25,234,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,55.00000000000001,850,46750.00000000001,23375.000000000004,0.5
FC-000000135,2020-10-26,235,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,45.0,950,42750.0,14962.499999999998,0.35
FC-000000136,2020-10-27,236,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,45.0,950,42750.0,14962.499999999998,0.35
FC-000000137,2020-10-28,237,Walmart,Southwest,Texas,Houston,Outlet,Calzado Urbano,50.0,850,42500.0,14874.999999999998,0.35
FC-000000138,2020-10-29,238,Walmart,Southwest,Texas,Houston,Outlet,Calzado Deportivo,50.0,700,35000.0,15750.0,0.45
FC-000000139,2020-10-30,239,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,45.0,650,29250.0,8775.0,0.3
FC-000000140,2020-10-31,240,Walmart,Southwest,Texas,Houston,Outlet,Indumentaria,55.00000000000001,900,49500.00000000001,24750.000000000004,0.5
FC-000000141,2020-11-01,241,West Gear,Southwest,Texas,Houston,Outlet,Calzado Urbano,40.0,775,31000.0,10850.0,0.35
FC-000000142,2020-11-02,242,West Gear,Southwest,Texas,Houston,Outlet,Calzado Deportivo,50.0,775,38750.0,7750.0,0.2
FC-000000143,2020-11-03,243,West Gear,Southwest,Texas,Houston,Outlet,Calzado Urbano,50.0,775,38750.0,13562.5,0.35
FC-000000144,2020-11-04,244,West Gear,Southwest,Texas,Houston,Outlet,Calzado Deportivo,50.0,625,31250.0,9375.0,0.3
FC-000000145,2020-11-05,245,West Gear,West,California,San Francisco,Outlet,Indumentaria,55.00000000000001,575,31625.000000000004,15812.500000000002,0.5
FC-000000146,2020-11-06,246,West Gear,West,California,San Francisco,Outlet,Indumentaria,50.0,775,38750.0,5812.5,0.15
FC-000000147,2020-11-07,247,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,40.0,825,33000.0,11550.0,0.35
FC-000000148,2020-11-08,248,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,50.0,725,36250.0,7250.0,0.2
FC-000000149,2020-11-09,249,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,50.0,725,36250.0,12687.5,0.35
FC-000000150,2020-11-10,250,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,50.0,575,28750.0,8625.0,0.3
FC-000000151,2020-11-11,251,West Gear,West,California,San Francisco,Outlet,Indumentaria,55.00000000000001,500,27500.000000000004,13750.000000000002,0.5
FC-000000152,2020-11-12,252,West Gear,West,California,San Francisco,Outlet,Indumentaria,50.0,700,35000.0,5250.0,0.15
FC-000000153,2020-11-13,253,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,50.0,850,42500.0,14874.999999999998,0.35
FC-000000154,2020-11-14,254,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,60.0,700,42000.0,8400.0,0.2
FC-000000155,2020-11-15,255,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,60.0,700,42000.0,14699.999999999998,0.35
FC-000000156,2020-12-22,256,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,60.0,600,36000.0,10800.0,0.3
FC-000000157,2020-12-23,257,West Gear,West,California,San Francisco,Outlet,Indumentaria,65.0,500,32500.0,16250.0,0.5
FC-000000158,2020-12-24,258,West Gear,West,California,San Francisco,Outlet,Indumentaria,60.0,700,42000.0,6300.0,0.15
FC-000000159,2020-12-25,259,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,60.0,875,52500.0,18375.0,0.35
FC-000000160,2020-12-26,260,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,65.0,675,43875.0,8775.0,0.2
FC-000000161,2020-12-27,261,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,65.0,725,47125.0,16493.75,0.35
FC-000000162,2020-12-28,262,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,60.0,625,37500.0,11250.0,0.3
FC-000000163,2020-12-29,263,West Gear,West,California,San Francisco,Outlet,Indumentaria,65.0,525,34125.0,17062.5,0.5
FC-000000164,2020-12-30,264,West Gear,West,California,San Francisco,Outlet,Indumentaria,80.0,700,56000.0,8400.0,0.15
FC-000000165,2020-12-31,265,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,60.0,900,54000.0,21600.0,0.4
FC-000000166,2021-01-01,266,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,65.0,750,48750.0,12187.5,0.25
FC-000000167,2021-01-02,267,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,65.0,750,48750.0,19500.0,0.4
FC-000000168,2021-01-03,268,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,60.0,650,39000.0,13650.0,0.35
FC-000000169,2021-01-04,269,West Gear,West,California,San Francisco,Outlet,Indumentaria,65.0,550,35750.0,19662.5,0.55
FC-000000170,2021-01-05,270,West Gear,West,California,San Francisco,Outlet,Indumentaria,80.0,725,58000.0,11600.0,0.2
FC-000000171,2021-01-06,271,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,60.0,975,58500.0,23400.0,0.4
FC-000000172,2021-01-07,272,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,65.0,825,53625.0,13406.25,0.25
FC-000000173,2021-01-08,273,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,65.0,825,53625.0,21450.0,0.4
FC-000000174,2021-01-09,274,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,60.0,700,42000.0,14699.999999999998,0.35
FC-000000175,2021-01-10,275,West Gear,West,California,San Francisco,Outlet,Indumentaria,65.0,575,37375.0,20556.25,0.55
FC-000000176,2021-01-11,276,West Gear,West,California,San Francisco,Outlet,Indumentaria,80.0,875,70000.0,14000.0,0.2
FC-000000177,2021-01-12,277,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,60.0,1025,61500.0,21525.0,0.35
FC-000000178,2021-01-13,278,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,65.0,875,56875.0,11375.0,0.2
FC-000000179,2021-01-14,279,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,65.0,825,53625.0,18768.75,0.35
FC-000000180,2021-01-15,280,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,60.0,725,43500.0,13050.0,0.3
FC-000000181,2021-01-16,281,West Gear,West,California,San Francisco,Outlet,Indumentaria,65.0,775,50375.0,25187.5,0.5
FC-000000182,2021-01-17,282,West Gear,West,California,San Francisco,Outlet,Indumentaria,80.0,775,62000.0,9300.0,0.15
FC-000000183,2021-01-18,283,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,65.0,975,63375.0,22181.25,0.35
FC-000000184,2021-01-19,284,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,70.0,925,64750.0,12950.0,0.2
FC-000000185,2021-01-20,285,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,65.0,800,52000.0,18200.0,0.35
FC-000000186,2021-01-21,286,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,65.0,750,48750.0,14625.0,0.3
FC-000000187,2021-01-22,287,West Gear,West,California,San Francisco,Outlet,Indumentaria,75.0,750,56250.0,28125.0,0.5
FC-000000188,2021-01-23,288,West Gear,West,California,San Francisco,Outlet,Indumentaria,80.0,725,58000.0,8700.0,0.15
FC-000000189,2021-01-24,289,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,55.00000000000001,925,50875.00000000001,15262.500000000002,0.3
FC-000000190,2021-01-25,290,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,60.00000000000001,925,55500.00000000001,8325.0,0.15
FC-000000191,2021-01-26,291,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,55.00000000000001,775,42625.00000000001,12787.500000000002,0.3
FC-000000192,2021-01-27,292,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,55.00000000000001,725,39875.00000000001,9968.749999999998,0.2499999999999999
FC-000000193,2021-01-28,293,West Gear,West,California,San Francisco,Outlet,Indumentaria,65.0,725,47125.0,21206.25,0.45
FC-000000194,2021-01-29,294,West Gear,West,California,San Francisco,Outlet,Indumentaria,70.0,775,54250.0,5425.0,0.1
FC-000000195,2021-01-30,295,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,55.00000000000001,875,48125.00000000001,14437.500000000002,0.3
FC-000000196,2021-01-31,296,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,60.00000000000001,875,52500.00000000001,7875.000000000001,0.15
FC-000000197,2021-02-01,297,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,55.00000000000001,700,38500.00000000001,11550.000000000002,0.3
FC-000000198,2021-02-02,298,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,55.00000000000001,675,37125.00000000001,9281.249999999998,0.2499999999999999
FC-000000199,2021-02-03,299,West Gear,West,California,San Francisco,Outlet,Indumentaria,65.0,650,42250.0,19012.5,0.45
FC-000000200,2021-02-04,300,West Gear,West,California,San Francisco,Outlet,Indumentaria,70.0,700,49000.0,4900.0,0.1
FC-000000201,2021-02-05,301,West Gear,West,California,San Francisco,Outlet,Calzado Urbano,55.00000000000001,875,48125.00000000001,14437.500000000002,0.3
FC-000000202,2021-02-06,302,West Gear,West,California,San Francisco,Outlet,Calzado Deportivo,60.00000000000001,875,52500.00000000001,7875.000000000001,0.15
